albero,n_cellule,GRN_type,sigma_cif,diff_cif_fraction,modello,fixed_terminal,knn_atac,knn_rna,wnn,algoritmo,n_waypoints,knn_waypoints,n_macrostates,velocity_algorithm,pruning_type,pearson_kl_statistics,pearson_kl_pvalue,pearson_entropy_statistics,pearson_entropy_pvalue,f1_cosine,f1_euclidean,cpu_time,wall_time,cpu_time_kernel,wall_time_kernel
phyla5,1000,GRN_100,0.1,0.5,rna,False,50,100,70,Cellrank Pseudotime Kernel,750,100,5,,hard,0.6135130194283045,1.8727923993490693e-104,0.6245015683214673,3.0539277849846185e-109,,,5.642488131998107,32.486066579818726,1.7810006430081557,31.093801975250244
phyla5,1000,GRN_100,0.1,0.5,rna,False,50,100,100,Cellrank Pseudotime Kernel,250,30,5,,hard,0.6340157101882812,1.521034671833239e-113,0.7396861539847627,7.26071601106851e-174,,,5.072964280989254,31.12440252304077,1.7072941059886944,29.85936975479126
phyla5,1000,GRN_100,0.1,0.5,rna,False,50,100,100,Cellrank Pseudotime Kernel,250,50,5,,hard,0.5958474154538933,3.8474352697466554e-97,0.6887712071091634,1.4735085563867497e-141,,,5.367749002034543,30.49613332748413,1.9277110180119053,29.218716144561768
phyla5,1000,GRN_100,0.1,0.5,rna,False,50,100,100,Cellrank Pseudotime Kernel,250,100,5,,hard,0.6144031739395727,7.792564937965023e-105,0.6211354846481211,9.369345580596215e-108,,,6.308756255020853,28.692028284072876,1.8819741519982927,27.34146475791931
phyla5,1000,GRN_100,0.1,0.5,rna,False,50,100,100,Cellrank Pseudotime Kernel,500,30,5,,hard,0.6241016757209361,4.596751715750795e-109,0.7341901011242957,5.085639639472064e-170,,,5.627347243018448,30.829801321029663,1.8166615829977673,29.456010341644287
phyla5,1000,GRN_100,0.1,0.5,rna,False,50,100,100,Cellrank Pseudotime Kernel,500,50,5,,hard,0.596255542157644,2.6383768499094787e-97,0.7016582620738026,4.398334951451976e-149,,,6.460837197984802,30.454696893692017,2.271339036000427,29.14246940612793
phyla5,1000,GRN_100,0.1,0.5,rna,False,50,100,100,Cellrank Pseudotime Kernel,500,100,5,,hard,0.6118280074640492,9.77278295022721e-104,0.6248727727821847,2.0882155606728726e-109,,,5.443808629992418,30.97950053215027,1.8739626629976556,29.668423175811768
phyla5,1000,GRN_100,0.1,0.5,rna,False,50,100,100,Cellrank Pseudotime Kernel,750,30,5,,hard,0.633196856610761,3.617439215017782e-113,0.7367568532093913,8.366198642289333e-172,,,5.402563176001422,27.361297607421875,1.8374335129919928,25.975526094436646
phyla5,1000,GRN_100,0.1,0.5,rna,False,50,100,100,Cellrank Pseudotime Kernel,750,50,5,,hard,0.5989007106184571,2.25818099495552e-98,0.6812647150580302,2.357789365283898e-137,,,5.447636469005374,29.904327392578125,1.9563205080048647,28.59360432624817
phyla5,1000,GRN_100,0.1,0.5,rna,False,50,100,100,Cellrank Pseudotime Kernel,750,100,5,,hard,0.6135130194283045,1.8727923993490693e-104,0.6245015683214673,3.0539277849846185e-109,,,6.038285659014946,27.581073999404907,1.8005912119988352,26.19158172607422
phyla5,1000,GRN_100,0.1,0.5,rna,False,70,100,30,Cellrank Pseudotime Kernel,250,30,5,,hard,0.6340157101882812,1.521034671833239e-113,0.7396861539847627,7.26071601106851e-174,,,6.452454935992137,31.592066526412964,1.7454652329906821,30.219091415405273
phyla5,1000,GRN_100,0.1,0.5,rna,False,70,100,30,Cellrank Pseudotime Kernel,250,50,5,,hard,0.5958474154538933,3.8474352697466554e-97,0.6887712071091634,1.4735085563867497e-141,,,6.6781770329980645,28.852088451385498,2.1636599590128753,27.546959161758423
phyla5,1000,GRN_100,0.1,0.5,rna,False,70,100,30,Cellrank Pseudotime Kernel,250,100,5,,hard,0.6144031739395727,7.792564937965023e-105,0.6211354846481211,9.369345580596215e-108,,,6.2134485190035775,29.336055517196655,1.8046750320063438,27.98240637779236
phyla5,1000,GRN_100,0.1,0.5,rna,False,70,100,30,Cellrank Pseudotime Kernel,500,30,5,,hard,0.6241016757209361,4.596751715750795e-109,0.7341901011242957,5.085639639472064e-170,,,6.75522870500572,31.131906509399414,2.4036038180056494,29.621310472488403
phyla5,1000,GRN_100,0.1,0.5,rna,False,70,100,30,Cellrank Pseudotime Kernel,500,50,5,,hard,0.596255542157644,2.6383768499094787e-97,0.7016582620738026,4.398334951451976e-149,,,5.44657113001449,29.50288486480713,1.789039936993504,28.24689507484436
phyla5,1000,GRN_100,0.1,0.5,rna,False,70,100,30,Cellrank Pseudotime Kernel,500,100,5,,hard,0.6118280074640492,9.77278295022721e-104,0.6248727727821847,2.0882155606728726e-109,,,7.791674167005112,31.24444818496704,1.8453441890014801,29.69609808921814
phyla5,1000,GRN_100,0.1,0.5,rna,False,70,100,30,Cellrank Pseudotime Kernel,750,30,5,,hard,0.633196856610761,3.617439215017782e-113,0.7367568532093913,8.366198642289333e-172,,,6.8585955489834305,31.124531269073486,2.630821917002322,29.8234281539917
phyla5,1000,GRN_100,0.1,0.5,rna,False,70,100,30,Cellrank Pseudotime Kernel,750,50,5,,hard,0.5989007106184571,2.25818099495552e-98,0.6812647150580302,2.357789365283898e-137,,,6.823408898024354,32.573874711990356,1.9031395940110087,30.883535385131836
phyla5,1000,GRN_100,0.1,0.5,rna,False,70,100,30,Cellrank Pseudotime Kernel,750,100,5,,hard,0.6135130194283045,1.8727923993490693e-104,0.6245015683214673,3.0539277849846185e-109,,,5.49969465599861,30.23842215538025,1.956650020001689,28.843231678009033
phyla5,1000,GRN_100,0.1,0.5,rna,False,70,100,50,Cellrank Pseudotime Kernel,250,30,5,,hard,0.6340157101882812,1.521034671833239e-113,0.7396861539847627,7.26071601106851e-174,,,5.816636508010561,28.943782091140747,1.7305379990139045,27.667490005493164
phyla5,1000,GRN_100,0.1,0.5,rna,False,70,100,50,Cellrank Pseudotime Kernel,250,50,5,,hard,0.5958474154538933,3.8474352697466554e-97,0.6887712071091634,1.4735085563867497e-141,,,5.3474636239989195,33.116596698760986,2.0057628889917396,31.794586420059204
phyla5,1000,GRN_100,0.1,0.5,rna,False,70,100,50,Cellrank Pseudotime Kernel,250,100,5,,hard,0.6144031739395727,7.792564937965023e-105,0.6211354846481211,9.369345580596215e-108,,,5.463748392998241,35.122334003448486,2.3497158229874913,34.068007469177246
phyla5,1000,GRN_100,0.1,0.5,rna,False,70,100,50,Cellrank Pseudotime Kernel,500,30,5,,hard,0.6241016757209361,4.596751715750795e-109,0.7341901011242957,5.085639639472064e-170,,,6.444939444976626,30.376007795333862,2.0115472769830376,28.95292568206787
phyla5,1000,GRN_100,0.1,0.5,rna,False,70,100,50,Cellrank Pseudotime Kernel,500,50,5,,hard,0.596255542157644,2.6383768499094787e-97,0.7016582620738026,4.398334951451976e-149,,,5.566041439975379,28.91148853302002,1.8291264639992733,27.56750249862671
phyla5,1000,GRN_100,0.1,0.5,rna,False,70,100,50,Cellrank Pseudotime Kernel,500,100,5,,hard,0.6118280074640492,9.77278295022721e-104,0.6248727727821847,2.0882155606728726e-109,,,5.530609409004683,31.605093479156494,1.8853988850023597,30.26748776435852
phyla5,1000,GRN_100,0.1,0.5,rna,False,70,100,50,Cellrank Pseudotime Kernel,750,30,5,,hard,0.633196856610761,3.617439215017782e-113,0.7367568532093913,8.366198642289333e-172,,,5.2754880739958026,29.815782070159912,2.1851055570004974,28.571388483047485
phyla5,1000,GRN_100,0.1,0.5,rna,False,70,100,50,Cellrank Pseudotime Kernel,750,50,5,,hard,0.5989007106184571,2.25818099495552e-98,0.6812647150580302,2.357789365283898e-137,,,5.763949183019577,29.411102056503296,1.9031376620114315,28.009105443954468
phyla5,1000,GRN_100,0.1,0.5,rna,False,70,100,50,Cellrank Pseudotime Kernel,750,100,5,,hard,0.6135130194283045,1.8727923993490693e-104,0.6245015683214673,3.0539277849846185e-109,,,5.2050763920124155,28.476667642593384,1.881238828995265,27.182928562164307
phyla5,1000,GRN_100,0.1,0.5,rna,False,70,100,70,Cellrank Pseudotime Kernel,250,30,5,,hard,0.6340157101882812,1.521034671833239e-113,0.7396861539847627,7.26071601106851e-174,,,5.358460512012243,32.79909610748291,1.6667351080104709,31.506722927093506
phyla5,1000,GRN_100,0.1,0.5,rna,False,70,100,70,Cellrank Pseudotime Kernel,250,50,5,,hard,0.5958474154538933,3.8474352697466554e-97,0.6887712071091634,1.4735085563867497e-141,,,6.4922976279922295,28.255505084991455,1.9215017029782757,26.883525371551514
phyla5,1000,GRN_100,0.1,0.5,rna,False,70,100,70,Cellrank Pseudotime Kernel,250,100,5,,hard,0.6144031739395727,7.792564937965023e-105,0.6211354846481211,9.369345580596215e-108,,,5.534965258993907,32.64460039138794,2.2132858989934903,31.612972736358643
phyla5,1000,GRN_100,0.1,0.5,rna,False,70,100,70,Cellrank Pseudotime Kernel,500,30,5,,hard,0.6241016757209361,4.596751715750795e-109,0.7341901011242957,5.085639639472064e-170,,,5.105084566981532,30.377619743347168,1.9610132359957788,29.07693314552307
phyla5,1000,GRN_100,0.1,0.5,rna,False,70,100,70,Cellrank Pseudotime Kernel,500,50,5,,hard,0.596255542157644,2.6383768499094787e-97,0.7016582620738026,4.398334951451976e-149,,,5.925495982985012,30.868337869644165,2.0736170650052372,29.56258535385132
phyla5,1000,GRN_100,0.1,0.5,rna,False,70,100,70,Cellrank Pseudotime Kernel,500,100,5,,hard,0.6118280074640492,9.77278295022721e-104,0.6248727727821847,2.0882155606728726e-109,,,6.384565786021994,30.03022289276123,1.9099916590203065,28.654698133468628
phyla5,1000,GRN_100,0.1,0.5,rna,False,70,100,70,Cellrank Pseudotime Kernel,750,30,5,,hard,0.633196856610761,3.617439215017782e-113,0.7367568532093913,8.366198642289333e-172,,,5.685299489006866,26.692719221115112,1.9683596579998266,25.4145188331604
phyla5,1000,GRN_100,0.1,0.5,rna,False,70,100,70,Cellrank Pseudotime Kernel,750,50,5,,hard,0.5989007106184571,2.25818099495552e-98,0.6812647150580302,2.357789365283898e-137,,,5.77866747698863,29.60550880432129,1.8674589270085562,28.269384145736694
phyla5,1000,GRN_100,0.1,0.5,rna,False,70,100,70,Cellrank Pseudotime Kernel,750,100,5,,hard,0.6135130194283045,1.8727923993490693e-104,0.6245015683214673,3.0539277849846185e-109,,,5.617963600991061,26.495575428009033,1.8570716629910748,25.11526346206665
