albero,n_cellule,GRN_type,sigma_cif,diff_cif_fraction,modello,fixed_terminal,knn_atac,knn_rna,wnn,algoritmo,n_waypoints,knn_waypoints,n_macrostates,velocity_algorithm,pruning_type,pearson_kl_statistics,pearson_kl_pvalue,kendall_pseudotime_statistics,kendall_pseudotime_pvalue,pearson_entropy_statistics,pearson_entropy_pvalue,f1_cosine,f1_euclidean
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,50,30,50,cellrank_pseudotime_kernel,500,100,5,,hard,0.5416464306944554,2.576467163636555e-77,,,0.8717288357190583,1.8507997525523e-311,,0.6512562389693508
phyla5,1000,GRN_100,0.1,0.1,multiomics,True,50,30,50,cellrank_pseudotime_kernel,500,100,5,,hard,0.5574481759882072,1.0129674892646142e-82,,,0.875404204102177,2.4573313e-317,0.5706001541303115,0.6474861609255722
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,50,30,50,cellrank_pseudotime_kernel,750,30,5,,hard,0.4972670247394337,1.3997282969708653e-63,,,0.807925033781977,1.9037281193438973e-231,,0.6474861609255722
phyla5,1000,GRN_100,0.1,0.1,multiomics,True,50,30,50,cellrank_pseudotime_kernel,750,30,5,,hard,0.48251485752652146,1.9094520476186628e-59,,,0.8245365349938675,4.468331561868319e-249,0.589059621637636,0.6628748590055437
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,50,30,50,cellrank_pseudotime_kernel,750,50,5,,hard,0.5189505277663072,4.885646359886648e-70,,,0.823360778535489,9.086262274743662e-248,,0.6628748590055437
phyla5,1000,GRN_100,0.1,0.1,multiomics,True,50,30,50,cellrank_pseudotime_kernel,750,50,5,,hard,0.5090435899928758,4.9761458594899756e-67,,,0.8338446510418451,8.620823130210082e-260,0.5732559972494653,0.650270845603486
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,50,30,50,cellrank_pseudotime_kernel,750,100,5,,hard,0.5425462235626485,1.290954461801254e-77,,,0.8713954330750608,6.186848745709e-311,,0.650270845603486
phyla5,1000,GRN_100,0.1,0.1,multiomics,True,50,30,50,cellrank_pseudotime_kernel,750,100,5,,hard,0.557909784735477,6.971030684959972e-83,,,0.8753472756102101,3.040242e-317,0.5701446646525159,0.6469350703812874
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,50,30,70,cellrank_pseudotime_kernel,250,30,5,,hard,0.5457243363688704,1.1055571882939128e-78,,,0.7873717046651254,6.98155839595739e-212,,0.6469350703812874
phyla5,1000,GRN_100,0.1,0.1,multiomics,True,50,30,70,cellrank_pseudotime_kernel,250,30,5,,hard,0.5207095317132191,1.3944271538588291e-70,,,0.8187269192016076,1.050069687350947e-242,0.5433353759315692,0.6242523862889641
