albero,n_cellule,GRN_type,sigma_cif,diff_cif_fraction,modello,fixed_terminal,knn_atac,knn_rna,wnn,algoritmo,n_waypoints,knn_waypoints,n_macrostates,velocity_algorithm,pruning_type,pearson_pseudotime_statistics,pearson_pseudotime_pvalue,kendall_pseudotime_statistics,kendall_pseudotime_pvalue,pearson_entropy_statistics,pearson_entropy_pvalue,f1_cosine,f1_euclidean
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,70,palantir,500,100,,,,0.7935797736607844,1.4805440458927877e-217,,2.6117897977027314e-200,,,0.3064154812937237,0.436373109416237,0.7740289740289741,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,70,palantir,500,100,,,,0.793578713526817,1.4839074322908203e-217,,2.543675217288264e-200,-0.7002291022797409,3.1458332108967454e-148,0.3158029966940887,0.4425172362973256,0.774042678042678,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,70,palantir,750,30,,,,0.7785518241658507,3.843030768319286e-204,,1.19347263440266e-193,,,0.3158029966940887,0.4425172362973256,0.7659104139104139,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,70,palantir,750,30,,,,0.7785447340845801,3.897196040786197e-204,,1.199849734390259e-193,-0.5030462730664962,2.9528995369335695e-65,0.22040123265622552,0.37736512057902694,0.765907533907534,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,70,palantir,750,50,,,,0.7846547764099405,1.850794903368961e-209,,2.6761281398223545e-196,,,0.22040123265622552,0.37736512057902694,0.7691801411801412,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,70,palantir,750,50,,,,0.7846506550244076,1.8664124590035005e-209,,2.6824785810728495e-196,-0.6005135162835729,4.988076929448532e-99,0.2720290851296811,0.4116292869536085,0.7691788811788813,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,70,palantir,750,100,,,,0.7933173893421237,2.5950856583471417e-217,,2.685448823305214e-200,,,0.2720290851296811,0.4116292869536085,0.77401455001455,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,70,palantir,750,100,,,,0.7933203104822399,2.5789337307095346e-217,,2.5850939206614542e-200,-0.6457968675085936,4.3676821019127807e-119,0.28805288680407853,0.4250599939567173,0.7740343020343021,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,100,palantir,250,30,,,,0.8029673317439077,1.621254831954238e-226,,1.433014186188885e-198,,,0.28805288680407853,0.4250599939567173,0.7719408519408519,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,100,palantir,250,30,,,,0.8029675565233781,1.6204325148489067e-226,,1.3899752895854431e-198,-0.7502773388757549,1.4741948396538754e-181,0.319547480587151,0.45687263504518216,0.771956835956836,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,100,palantir,250,50,,,,0.8064383280703623,5.9302252089230715e-230,,5.7017130953409e-200,,,0.319547480587151,0.45687263504518216,0.7736236616236617,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,100,palantir,250,50,,,,0.8066314596129289,3.8001116882581494e-230,,3.2101256509342556e-200,-0.740606509786226,1.6125014953906957e-174,0.48485386876036807,0.5753921115090421,0.7739219699219699,True
phyla5,1000,GRN_100,0.1,0.1,multiomics,False,30,30,100,palantir,250,100,,,,0.8078885161097975,2.0722641609779835e-231,,1.2933239304452815e-201,,,0.48485386876036807,0.5753921115090421,0.7755813555813557,True
